H1[mm],H2[mm],H3[mm],H_C1[mm],H_C2[mm]
3.767205547889102,4.559665420543752,4.132330495669427,3.1068252466781665,2.8926062539736908
3.766588389926305,4.558382051430158,4.133302996432802,3.1081621176401555,2.892604069836686
3.7664567088143492,4.556193175646172,4.132586726650548,3.1075126582959633,2.892577893794739

=== 统计分析 ===

各参数平均误差:
H1[mm]: 绝对误差=0.0098mm, 相对误差=0.26%
H2[mm]: 绝对误差=0.0061mm, 相对误差=0.13%
H3[mm]: 绝对误差=0.0077mm, 相对误差=0.19%
H_C1[mm]: 绝对误差=0.0065mm, 相对误差=0.21%
H_C2[mm]: 绝对误差=0.0004mm, 相对误差=0.01%

各样本平均相对误差:
样本 1: 0.17%
样本 2: 0.16%
样本 3: 0.15%

最优样本: 样本 3，平均相对误差=0.15%
最优样本参数: [3.76645671 4.55619318 4.13258673 3.10751266 2.89257789]

=== 生成时间 ===
生成时间: 2026-03-08 15:35:49
